"RotorLength","LegLength","LegWidth","PaperClip","Replicate","FlightTime_sec"
"7.5 cm","7.5 cm","3.2 cm","No",1,NA
"7.5 cm","7.5 cm","3.2 cm","No",2,NA
"7.5 cm","7.5 cm","3.2 cm","No",3,NA
"7.5 cm","7.5 cm","3.2 cm","No",4,NA
"8.5 cm","7.5 cm","3.2 cm","No",1,NA
"8.5 cm","7.5 cm","3.2 cm","No",2,NA
"8.5 cm","7.5 cm","3.2 cm","No",3,NA
"8.5 cm","7.5 cm","3.2 cm","No",4,NA
"7.5 cm","12.0 cm","3.2 cm","No",1,NA
"7.5 cm","12.0 cm","3.2 cm","No",2,NA
"7.5 cm","12.0 cm","3.2 cm","No",3,NA
"7.5 cm","12.0 cm","3.2 cm","No",4,NA
"8.5 cm","12.0 cm","3.2 cm","No",1,NA
"8.5 cm","12.0 cm","3.2 cm","No",2,NA
"8.5 cm","12.0 cm","3.2 cm","No",3,NA
"8.5 cm","12.0 cm","3.2 cm","No",4,NA
"7.5 cm","7.5 cm","5.0 cm","No",1,NA
"7.5 cm","7.5 cm","5.0 cm","No",2,NA
"7.5 cm","7.5 cm","5.0 cm","No",3,NA
"7.5 cm","7.5 cm","5.0 cm","No",4,NA
"8.5 cm","7.5 cm","5.0 cm","No",1,NA
"8.5 cm","7.5 cm","5.0 cm","No",2,NA
"8.5 cm","7.5 cm","5.0 cm","No",3,NA
"8.5 cm","7.5 cm","5.0 cm","No",4,NA
"7.5 cm","12.0 cm","5.0 cm","No",1,NA
"7.5 cm","12.0 cm","5.0 cm","No",2,NA
"7.5 cm","12.0 cm","5.0 cm","No",3,NA
"7.5 cm","12.0 cm","5.0 cm","No",4,NA
"8.5 cm","12.0 cm","5.0 cm","No",1,NA
"8.5 cm","12.0 cm","5.0 cm","No",2,NA
"8.5 cm","12.0 cm","5.0 cm","No",3,NA
"8.5 cm","12.0 cm","5.0 cm","No",4,NA
"7.5 cm","7.5 cm","3.2 cm","Yes",1,NA
"7.5 cm","7.5 cm","3.2 cm","Yes",2,NA
"7.5 cm","7.5 cm","3.2 cm","Yes",3,NA
"7.5 cm","7.5 cm","3.2 cm","Yes",4,NA
"8.5 cm","7.5 cm","3.2 cm","Yes",1,NA
"8.5 cm","7.5 cm","3.2 cm","Yes",2,NA
"8.5 cm","7.5 cm","3.2 cm","Yes",3,NA
"8.5 cm","7.5 cm","3.2 cm","Yes",4,NA
"7.5 cm","12.0 cm","3.2 cm","Yes",1,NA
"7.5 cm","12.0 cm","3.2 cm","Yes",2,NA
"7.5 cm","12.0 cm","3.2 cm","Yes",3,NA
"7.5 cm","12.0 cm","3.2 cm","Yes",4,NA
"8.5 cm","12.0 cm","3.2 cm","Yes",1,NA
"8.5 cm","12.0 cm","3.2 cm","Yes",2,NA
"8.5 cm","12.0 cm","3.2 cm","Yes",3,NA
"8.5 cm","12.0 cm","3.2 cm","Yes",4,NA
"7.5 cm","7.5 cm","5.0 cm","Yes",1,NA
"7.5 cm","7.5 cm","5.0 cm","Yes",2,NA
"7.5 cm","7.5 cm","5.0 cm","Yes",3,NA
"7.5 cm","7.5 cm","5.0 cm","Yes",4,NA
"8.5 cm","7.5 cm","5.0 cm","Yes",1,NA
"8.5 cm","7.5 cm","5.0 cm","Yes",2,NA
"8.5 cm","7.5 cm","5.0 cm","Yes",3,NA
"8.5 cm","7.5 cm","5.0 cm","Yes",4,NA
"7.5 cm","12.0 cm","5.0 cm","Yes",1,NA
"7.5 cm","12.0 cm","5.0 cm","Yes",2,NA
"7.5 cm","12.0 cm","5.0 cm","Yes",3,NA
"7.5 cm","12.0 cm","5.0 cm","Yes",4,NA
"8.5 cm","12.0 cm","5.0 cm","Yes",1,NA
"8.5 cm","12.0 cm","5.0 cm","Yes",2,NA
"8.5 cm","12.0 cm","5.0 cm","Yes",3,NA
"8.5 cm","12.0 cm","5.0 cm","Yes",4,NA
